icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
41111,112,AGING;APPROPRIATIONS;BUDGET,,J000293,AGING;APPROPRIATIONS;BUDGET;HOMELAND SECURITY,
41301,115,AGING;ARMED SERVICES;BANKING;HEALTH,,W000817,AGING;ARMED SERVICES;BANKING;ENERGY;HEALTH,
41302,115,AGING;ARMED SERVICES;COMMERCE;ENVIRONMENT;RULES,,F000463,AGING;AGRICULTURE;ARMED SERVICES;COMMERCE;ENVIRONMENT;RULES;SMALL BUSINESS,
41303,115,AGRICULTURE;BANKING;HOMELAND SECURITY;INDIAN;SMALL BUSINESS,,H001069,AGRICULTURE;BANKING;HOMELAND SECURITY;INDIAN;SMALL BUSINESS;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
41305,115,ARMED SERVICES;BUDGET;FOREIGN RELATIONS;HEALTH,,K000384,AGING;ARMED SERVICES;BUDGET;FOREIGN RELATIONS;HEALTH,
41308,115,COMMERCE;ENVIRONMENT;SMALL BUSINESS,,B001288,COMMERCE;ENVIRONMENT;FOREIGN RELATIONS;HOMELAND SECURITY;JUDICIARY;SMALL BUSINESS,
41308,114,COMMERCE;ENVIRONMENT;SMALL BUSINESS,,B001288,COMMERCE;ENVIRONMENT;HOMELAND SECURITY;SMALL BUSINESS,
41501,115,AGRICULTURE;ARMED SERVICES;BUDGET,,P000612,AGING;AGRICULTURE;ARMED SERVICES;BANKING;BUDGET;FOREIGN RELATIONS;JUDICIARY,
41502,115,AGRICULTURE;ARMED SERVICES;ENVIRONMENT;SMALL BUSINESS,,E000295,AGRICULTURE;ARMED SERVICES;ENVIRONMENT;HOMELAND SECURITY;SMALL BUSINESS,
41503,115,ARMED SERVICES;BANKING;ECONOMIC;JUDICIARY,,S001197,AGING;AGRICULTURE;ARMED SERVICES;BANKING;ECONOMIC;HOMELAND SECURITY;JUDICIARY,
41504,115,AGING;ARMED SERVICES;BANKING;JUDICIARY;VETERANS,,T000476,AGING;AGRICULTURE;ARMED SERVICES;BANKING;COMMISSION ON SECURITY;JUDICIARY;VETERANS,
41505,115,ARMED SERVICES;BANKING;ENVIRONMENT;VETERANS,,R000605,ARMED SERVICES;BANKING;ENVIRONMENT;SMALL BUSINESS;VETERANS,
41701,115,BUDGET;ENVIRONMENT;HOMELAND SECURITY;INTELLIGENCE,,H001075,BUDGET;ENVIRONMENT;HOMELAND SECURITY;INTELLIGENCE;JUDICIARY,
49300,115,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES,Ranking Minority,F000062,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Vice Chairman;Ranking Member
49300,114,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES,,F000062,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Vice Chairman
49300,113,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES,Chair,F000062,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
49300,112,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES,Chair,F000062,APPROPRIATIONS;INTELLIGENCE;JUDICIARY;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
49308,113,APPROPRIATIONS;BUDGET;HEALTH;RULES;VETERANS,Chair,M001111,APPROPRIATIONS;BUDGET;HEALTH;PRINTING;RULES;VETERANS,Chairman
49700,115,AGRICULTURE;ARMED SERVICES;BUDGET;ENERGY;ENVIRONMENT,,S001141,AGRICULTURE;ARMED SERVICES;BUDGET;ENERGY;ENVIRONMENT;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
49700,114,ARMED SERVICES;BUDGET;JUDICIARY,,S001141,ARMED SERVICES;BUDGET;ENVIRONMENT;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
49703,113,AGING;APPROPRIATIONS;INTELLIGENCE,Ranking Minority,C001035,AGING;APPROPRIATIONS;ARMED SERVICES;HOMELAND SECURITY;INTELLIGENCE,Ranking Member
49706,112,BUDGET;HEALTH;SMALL BUSINESS,Ranking Minority,E000285,BUDGET;FINANCE;HEALTH;SMALL BUSINESS,Ranking Member
94659,115,APPROPRIATIONS;BANKING;ENVIRONMENT;RULES,Chair,S000320,APPROPRIATIONS;BANKING;ENVIRONMENT;LIBRARY;PRINTING;RULES,Chairman;Vice Chairman
94659,114,APPROPRIATIONS;BANKING;LIBRARY;PRINTING;RULES,Chair,S000320,APPROPRIATIONS;BANKING;RULES,Chairman
94659,113,APPROPRIATIONS;BANKING;RULES,Ranking Minority,S000320,AGING;APPROPRIATIONS;BANKING;RULES,Ranking Member
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,A000373,AGRICULTURE;ARMED SERVICES,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,B001245,ARMED SERVICES;NATURAL RESOURCES,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,C001102,FOREIGN;HOMELAND SECURITY,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,G000575,AGRICULTURE;ARMED SERVICES,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,H001070,NATURAL RESOURCES;SMALL BUSINESS;TRANSPORTATION,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,J000296,APPROPRIATIONS,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,N000147,OVERSIGHT;TRANSPORTATION,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,P000596,JUDICIARY;NATURAL RESOURCES,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,P000610,AGRICULTURE;OVERSIGHT;TRANSPORTATION,
NA,115,NATURAL RESOURCES;SMALL BUSINESS;VETERANS,,S001177,EDUCATION;NATURAL RESOURCES;VETERANS,
NA,112,SCIENCE;VETERANS,NA,B001245,ARMED SERVICES;NATURAL RESOURCES,
NA,112,SCIENCE;VETERANS,NA,C000380,ENERGY,
NA,112,SCIENCE;VETERANS,NA,F000010,FOREIGN;NATURAL RESOURCES,
NA,112,SCIENCE;VETERANS,NA,N000147,OVERSIGHT;TRANSPORTATION,
NA,112,SCIENCE;VETERANS,NA,P000596,ETHICS;JUDICIARY;NATURAL RESOURCES,
NA,112,SCIENCE;VETERANS,NA,S001177,AGRICULTURE;NATURAL RESOURCES,
