icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
21737,115,EDUCATION;OVERSIGHT;TRANSPORTATION,,M001201,ARMED SERVICES;EDUCATION;OVERSIGHT;TRANSPORTATION,
21744,115,HOMELAND SECURITY;JUDICIARY;VETERANS,,R000609,APPROPRIATIONS;HOMELAND SECURITY;JUDICIARY;VETERANS,
21750,115,EDUCATION;HOMELAND SECURITY;SMALL BUSINESS,,E000298,EDUCATION;HOMELAND SECURITY,
29106,113,FINANCIAL SERVICES,Ranking Minority,W000187,FINANCIAL SERVICES;JUDICIARY,Ranking Member
29124,112,DEFICIT REDUCTION;TAXATION;WAYS,Chair,C000071,WAYS,Chair
29142,114,APPROPRIATIONS;ARMED SERVICES;BANKING,Ranking Minority,R000122,APPROPRIATIONS;ARMED SERVICES;BANKING;INTELLIGENCE,Ex Officio;Ranking Member
29143,115,WAYS,,J000174,TAXATION;WAYS,
29143,112,TAXATION;WAYS,,J000174,WAYS,
29316,112,DEFICIT REDUCTION;WAYS,Ranking Minority,B000287,WAYS,
29337,115,RULES,,H000324,COMMISSION ON SECURITY;RULES,
29337,114,RULES,,H000324,COMMISSION ON SECURITY;RULES,
29337,113,RULES,,H000324,COMMISSION ON SECURITY;RULES,
29345,115,BANKING;BUDGET;FINANCE;INDIAN;JUDICIARY;TAXATION,Chair,C000880,BANKING;BUDGET;ENVIRONMENT;FINANCE;INDIAN;JUDICIARY;TAXATION,Chairman
29378,115,FINANCIAL SERVICES;SMALL BUSINESS,Ranking Minority,V000081,FINANCIAL SERVICES;NATURAL RESOURCES;SMALL BUSINESS,Ranking Member
29379,112,ECONOMIC;FINANCIAL SERVICES;OVERSIGHT,,M000087,FINANCIAL SERVICES;OVERSIGHT,
29380,112,APPROPRIATIONS;ECONOMIC,,H000627,APPROPRIATIONS,
29386,115,ECONOMIC;ENERGY;FINANCE;FOREIGN RELATIONS;HOMELAND SECURITY,,P000449,BUDGET;ECONOMIC;ENERGY;FINANCE;FOREIGN RELATIONS;HOMELAND SECURITY,
29386,113,BUDGET;ENERGY;FINANCE;HOMELAND SECURITY,,P000449,ARMED SERVICES;BUDGET;ENERGY;FINANCE;HOMELAND SECURITY,
29389,113,AGRICULTURE;BANKING;ETHICS;FINANCE;VETERANS,,B000944,AGRICULTURE;APPROPRIATIONS;BANKING;ETHICS;FINANCE;VETERANS,
29504,115,HOUSE ADMINISTRATION;JUDICIARY;SCIENCE,Ranking Minority,L000397,HOUSE ADMINISTRATION;JUDICIARY;LIBRARY;SCIENCE,
29504,112,ETHICS;HOUSE ADMINISTRATION;JUDICIARY;LIBRARY;SCIENCE,Ranking Minority,L000397,HOUSE ADMINISTRATION;JUDICIARY;SCIENCE,
29512,113,AGRICULTURE;ARMED SERVICES;INTELLIGENCE;PRINTING;RULES,,C000286,AGING;AGRICULTURE;ARMED SERVICES;COMMISSION ON SECURITY;INTELLIGENCE;PRINTING;RULES,Vice Chairman
29512,112,AGING;AGRICULTURE;ARMED SERVICES;INTELLIGENCE;PRINTING;RULES,Ranking Minority,C000286,AGING;AGRICULTURE;ARMED SERVICES;COMMISSION ON SECURITY;INTELLIGENCE;PRINTING;RULES,Vice Chairman
29534,115,ARMED SERVICES;COMMERCE;ENVIRONMENT;RULES,,W000437,ARMED SERVICES;BUDGET;COMMERCE;COMMISSION ON SECURITY;ENVIRONMENT;PRINTING;RULES,Cochairman
29534,114,ARMED SERVICES;BUDGET;COMMERCE;ENVIRONMENT;PRINTING;RULES,,W000437,ARMED SERVICES;BUDGET;COMMERCE;COMMISSION ON SECURITY;ENVIRONMENT;RULES,Cochairman
29534,113,ARMED SERVICES;BUDGET;COMMERCE;ECONOMIC;ENVIRONMENT,,W000437,ARMED SERVICES;BANKING;BUDGET;COMMERCE;COMMISSION ON SECURITY;ECONOMIC;ENVIRONMENT;VETERANS,
29534,112,ARMED SERVICES;BANKING;COMMERCE;VETERANS,,W000437,ARMED SERVICES;BANKING;COMMERCE;COMMISSION ON SECURITY;VETERANS,
29546,113,ARMED SERVICES,,J000255,ARMED SERVICES;FINANCIAL SERVICES,
29548,115,AGING;FINANCE;HEALTH;INTELLIGENCE,Chair,B001135,AGING;COMMISSION ON SECURITY;FINANCE;HEALTH;INTELLIGENCE,Chairman
29548,114,FINANCE;HEALTH;INTELLIGENCE,Chair,B001135,COMMISSION ON SECURITY;FINANCE;HEALTH;INTELLIGENCE,Chairman
29548,113,FINANCE;HEALTH;INTELLIGENCE;VETERANS,Ranking Minority,B001135,COMMISSION ON SECURITY;FINANCE;HEALTH;INTELLIGENCE;VETERANS,Ranking Member
29548,112,ENERGY;FINANCE;HEALTH;INTELLIGENCE;VETERANS,Ranking Minority,B001135,COMMISSION ON SECURITY;FINANCE;HEALTH;INTELLIGENCE;VETERANS,Ranking Member
29555,113,BANKING;HOMELAND SECURITY;INTELLIGENCE,,C000560,BANKING;FINANCE;HOMELAND SECURITY;INTELLIGENCE;JUDICIARY,Ranking Member
29566,113,APPROPRIATIONS;ARMED SERVICES;BUDGET;JUDICIARY,,G000359,AGING;APPROPRIATIONS;ARMED SERVICES;BUDGET;JUDICIARY,
29587,115,OVERSIGHT;TRANSPORTATION,Ranking Minority,C000984,ECONOMIC;OVERSIGHT;TRANSPORTATION,Ranking Member
29587,114,BENGHAZI;OVERSIGHT;TRANSPORTATION,Ranking Minority,C000984,ECONOMIC;OVERSIGHT;TRANSPORTATION,Ranking Member
29587,113,BENGHAZI;ECONOMIC;OVERSIGHT;TRANSPORTATION,Ranking Minority,C000984,ECONOMIC;OVERSIGHT;TRANSPORTATION,Ranking Member
29587,112,ECONOMIC;OVERSIGHT;TRANSPORTATION,Ranking Minority,C000984,OVERSIGHT;TRANSPORTATION,Ranking Member
29701,115,APPROPRIATIONS,,A000055,APPROPRIATIONS;COMMISSION ON SECURITY,
29701,114,APPROPRIATIONS,,A000055,APPROPRIATIONS;COMMISSION ON SECURITY,
29701,113,APPROPRIATIONS,,A000055,APPROPRIATIONS;COMMISSION ON SECURITY,
29709,114,ARMED SERVICES;HOMELAND SECURITY,,S000030,ARMED SERVICES;ECONOMIC;HOMELAND SECURITY,
29709,112,ARMED SERVICES;ECONOMIC;HOMELAND SECURITY,,S000030,ARMED SERVICES;HOMELAND SECURITY,
29717,113,WAYS,,D000096,HOMELAND SECURITY;OVERSIGHT;WAYS,
29722,115,APPROPRIATIONS;COMMERCE;ENVIRONMENT;INDIAN;VETERANS,,M000934,APPROPRIATIONS;BANKING;COMMERCE;ENVIRONMENT;INDIAN;VETERANS,
29722,113,APPROPRIATIONS;BANKING;VETERANS,,M000934,AGING;APPROPRIATIONS;BANKING;HOMELAND SECURITY;SMALL BUSINESS;VETERANS,
29735,115,APPROPRIATIONS;COMMERCE;INTELLIGENCE;RULES,,B000575,APPROPRIATIONS;COMMERCE;INTELLIGENCE;LIBRARY;PRINTING;RULES,Chairman;Vice Chairman
29735,113,APPROPRIATIONS;ARMED SERVICES;COMMERCE;LIBRARY;RULES,,B000575,APPROPRIATIONS;ARMED SERVICES;COMMERCE;INTELLIGENCE;LIBRARY;RULES,
29741,115,WAYS,,P000096,BUDGET;WAYS,
29746,113,AGRICULTURE;ARMED SERVICES,,M000485,AGRICULTURE;ARMED SERVICES;COMMISSION ON SECURITY,
29752,114,ENERGY,,P000373,COMMISSION ON SECURITY;ENERGY,
29752,113,ENERGY,,P000373,COMMISSION ON SECURITY;ENERGY,
29754,113,AGRICULTURE;COMMERCE;FINANCE,Ranking Minority,T000250,AGRICULTURE;BUDGET;COMMERCE;FINANCE,Ranking Member
29760,115,WAYS,Chair,B000755,ECONOMIC;TAXATION;WAYS,Chair;Chairman
29760,112,ECONOMIC;WAYS,,B000755,WAYS,
29768,114,ARMED SERVICES;BENGHAZI,Ranking Minority,S000510,ARMED SERVICES,Ranking Member
29768,113,ARMED SERVICES;BENGHAZI,Ranking Minority,S000510,ARMED SERVICES,Ranking Member
29777,115,ARMED SERVICES,,B001227,ARMED SERVICES;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Ranking Member
29777,112,ARMED SERVICES;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Ranking Minority,B001227,ARMED SERVICES;HOUSE ADMINISTRATION,Ranking Member
29906,113,APPROPRIATIONS;ARMED SERVICES;ENERGY;INTELLIGENCE,,U000038,AGING;ARMED SERVICES;ENERGY;INTELLIGENCE,
29908,115,WAYS,,L000557,ETHICS;WAYS,
29909,113,ETHICS;FINANCE;HEALTH;VETERANS,,I000055,COMMERCE;ETHICS;FINANCE;FOREIGN RELATIONS;HEALTH;VETERANS,Vice Chairman
29910,113,APPROPRIATIONS,,S001148,APPROPRIATIONS;BUDGET,
29919,115,FINANCIAL SERVICES;TRANSPORTATION,,C001037,ETHICS;FINANCIAL SERVICES;TRANSPORTATION,
29924,115,APPROPRIATIONS;COMMERCE;FOREIGN RELATIONS;INDIAN;RULES,,U000039,APPROPRIATIONS;COMMERCE;COMMISSION ON SECURITY;FOREIGN RELATIONS;INDIAN;PRINTING;RULES,Vice Chairman
29924,114,APPROPRIATIONS;COMMERCE;FOREIGN RELATIONS;INDIAN;PRINTING;RULES,,U000039,APPROPRIATIONS;COMMERCE;COMMISSION ON SECURITY;FOREIGN RELATIONS;INDIAN;PRINTING;RULES,
